GameID,Season,Fight_Time,Period,Period_Label,Team,Opponent,Is_Home,Score_State_At_Fight,Was_Trailing,Corsi_Before,Corsi_After,Corsi_Delta,Shots_Before,Shots_After,Shots_Delta,Goals_Before,Goals_After,xG_Before,xG_After,xG_Delta,Gained_Momentum
2010020029,2010,2984,3,Period 3,ANA,STL,0,-3,1,2.0,3.0,1.0,1.0,3.0,2.0,0.0,0.0,0.1067488285933196,0.2632442954591704,0.15649546686585078,1
2010020029,2010,3119,3,Period 3,ANA,STL,0,-3,1,4.0,0.0,-4.0,3.0,0.0,-3.0,0.0,0.0,0.29631016307713137,0.0,-0.29631016307713137,0
2010020029,2010,3119,3,Period 3,STL,ANA,1,3,0,5.0,7.0,2.0,2.0,3.0,1.0,0.0,0.0,0.2741979060299465,0.47612528069429827,0.2019273746643518,1
2010020030,2010,1521,2,Period 2,BUF,CHI,1,0,0,5.0,0.0,-5.0,2.0,0.0,-2.0,0.0,0.0,0.2656992619514477,0.0,-0.2656992619514477,0
2010020030,2010,1521,2,Period 2,CHI,BUF,0,0,0,6.0,12.0,6.0,5.0,8.0,3.0,1.0,0.0,0.213340105487151,0.5297900767477643,0.31644997126061336,1
2010020034,2010,672,1,Period 1,COL,DET,0,-1,1,6.0,2.0,-4.0,4.0,0.0,-4.0,0.0,0.0,0.2330514733797971,0.0317503090671051,-0.201301164312692,0
2010020034,2010,672,1,Period 1,DET,COL,1,1,0,2.0,3.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.1222222143814603,0.2464111637677857,0.12418894938632541,1
2010020036,2010,738,1,Period 1,BUF,NJD,1,0,0,1.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0248104028522283,0.1200570258797817,0.0952466230275534,1
2010020036,2010,738,1,Period 1,NJD,BUF,0,0,0,10.0,5.0,-5.0,6.0,2.0,-4.0,0.0,0.0,0.703938339505856,0.1002364126057662,-0.6037019269000898,0
2010020037,2010,167,1,Period 1,NYI,WSH,0,0,0,2.0,4.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0428631026246044,0.2475608588123022,0.20469775618769778,1
2010020037,2010,167,1,Period 1,WSH,NYI,1,0,0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0292782897641315,0.0101980184554836,-0.0190802713086479,0
2010020039,2010,1568,2,Period 2,TOR,PIT,0,1,0,2.0,1.0,-1.0,2.0,1.0,-1.0,2.0,1.0,0.11925619058617631,0.0264556162265754,-0.09280057435960092,0
